SNO,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,PH_DETAILS,EC_DETAILS,OC_DETAILS,AVN_DETAILS,PHOS_DETAILS,POT_DETAILS,SULPHUR,ZINC_DETAILS,BORON_DETAILS,IRON_DETAILS,MANGAN_DETAILS,COPPER_DETAILS
OOT277,329,438,714,916,1335,2155,2521,2686,2802,2857,2673,1750,6.38,0.204,0.003,421,12.1,32.5,0.001,1.60428,0.001,0.07383,0.01,2.30464
OOT278,370,473,818,1040,1408,2121,2362,2525,2550,2632,2457,1653,6.87,0.386,0.2653,443,0,15.4,0.001,2.42486,0.001,0.04494,0.01,1.11631
OOT279,449,449,775,876,1362,2479,2822,3058,3101,2924,2791,1748,4.6,0.17,1.2342,560,3.54,1236,0.001,3.10714,0.001,0.05457,0.01,1.5512
OOT280,271,359,610,584,1115,2286,2686,2916,3039,3320,2593,1560,5,0.19,0.0003,314,1.7,114.25,0.001,1.6596,0.001,1.3161,0.01,3.2409
OOT281,465,724,1110,1405,1919,2818,3148,3291,3380,3230,3209,2212,6.58,0.22,0.0003,313,2.11,32.56,0.001,0.7837,0.001,1.2198,0.01,0.9141
OOT282,593,651,1047,1463,1887,2536,2778,2810,2956,2932,3433,2368,6.93,0.21,0.0003,313,14.7,35.3,0.001,3.3192,0.001,4.7187,0.01,0.3324
OOT283,584,714,1208,1725,2118,2580,2776,2777,2910,3083,3439,2413,5.01,0.1,0.0003,314,5.7,141,0.001,8.5746,0.001,2.9532,0.01,1.8005
OOT284,436,621,995,1282,1704,2421,2725,2832,2908,2926,2888,2022,5.66,0.14,0.0003,464,0,163.4,0.001,6.915,0.001,4.7187,0.01,4.2658
OOT285,530,629,977,1395,1778,2386,2647,2771,2829,2906,3394,2433,6.4,0.13,0.0003,312,0,149.1,0.001,3.7802,0.001,2.1186,0.01,0.4709
OOT286,379,440,729,849,1319,2309,2653,2834,2924,3020,2817,1868,4.69,0.2,0.0003,341,24.3,89.65,0.001,1.5674,0.001,13.9635,0.01,2.1883
OOT287,306,492,822,929,1434,2594,3013,3159,3194,3409,2724,1705,6.1,0.18,0.0003,321,35.2,149.1,0.001,3.7802,0.001,2.1186,0.01,0.4986
OOT288,436,621,995,1282,1704,2421,2725,2832,2908,2926,2888,2022,5.61,0.07,0.0003,313,50.5,141,0.001,5.071,0.001,2.2791,0.01,1.5512
OOT289,391,529,892,1009,1551,2742,3114,3153,3319,3517,2879,1793,5.24,0.05,0.0003,313,24.9,44.7,0.001,3.688,0.001,0.8667,0.01,2.9639
OOT290,345,369,646,625,1199,2369,2739,2861,3091,3334,2612,1532,4.83,0.21,0.0003,461,57.2,275.7,58.2,2.37415,0.001,4.3977,0.01,2.3822
OOT291,449,413,693,711,1243,2398,2739,2834,3039,2971,2617,1576,5.05,0.15,0.0003,46,1.5,417.1,33.1,3.85396,0.001,3.96756,0.01,1.88637
OOT292,352,443,749,906,1401,2455,2808,2876,3054,2974,2560,1650,6.95,0.17,0.0003,416,2.9,100.1,32.1,3.00111,0.001,3.2742,0.01,0.00277
OOT293,132,245,558,683,1061,1952,2259,2282,2404,2510,1713,1092,6.07,0.45,0.0003,313,10.3,3070,38,4.3334,0.001,2.0544,0.01,1.4404
OOT294,1012,1026,1189,1184,1575,2321,2550,2636,2720,3982,1984,1359,6.58,0.16,0.0003,464,14.7,1500,45.9,1.1064,0.001,10.4325,0.01,0.51799
OOT295,596,839,1281,1719,2121,2657,2871,2892,3063,3169,3471,2560,5.52,0.24,0.0003,133,19.5,1911,53.3,1.6596,0.001,2.1828,0.01,1.32683
OOT296,369,500,763,826,1350,2477,2856,3029,3185,3244,2881,1837,5.42,0.44,0.0003,131,5.7,15.24,0.001,0.461,0.001,0.30816,0.01,2.11905
OOT297,2956,7459,6771,6271,6721,6362,6132,6077,5986,6104,5201,4368,4.69,0.39,0.2134,119,11.1,500.6,0.001,5.8086,0.001,4.3335,0.01,0.5817
OOT298,910,1020,1427,1905,2267,2676,2882,2891,3071,3282,3654,2708,4.7,0.29,0.3043,170,13.2,500.4,0.001,1.9362,0.001,8.2818,4.7,0.2493
OOT299,307,433,738,771,1236,2449,2795,2889,2994,2842,2389,1489,5.86,0.14,0.14654,452,78,352.7,0.1,2.5816,0.001,2.3754,0.01,2.63704
OOT300,216,230,514,459,1064,2447,2929,3258,3365,3301,2317,1209,5.56,0.13,0.3664,205,19.4,96.89,0.001,5.9008,0.001,2.32083,0.01,1.6897
OOT301,2498,1865,1913,1827,2148,2481,2557,2353,2590,6180,2012,1824,5.97,0.39,0.8552,463,217,45.63,0.001,8.5746,0.001,2.65146,0.01,0
OOT302,453,427,634,584,999,2151,2481,2580,2686,2900,1862,1182,4.58,0.38,0.5745,363,11.9,25.36,0.001,8.1136,0.001,3.09123,0.01,2.6592
OOT303,457,459,728,870,1239,2069,2349,2523,2587,2714,2330,1606,5.94,0.13,0.131,152,91.6,89.63,0.001,2.88125,0.001,6.17283,0.01,0.7202
OOT304,479,711,1107,1474,1876,2505,2766,2846,2923,2925,3088,2249,6.09,0.29,0.56447,343,23.4,78.96,0.001,6.73521,0.001,8.14056,0.01,2.10797
OOT305,457,603,942,1129,1590,2480,2811,2947,3070,3078,2876,1954,5.54,0.29,0.695,33,24.9,0,0.001,11.82004,0.001,25.34616,0.01,2.0498
OOT306,779,563,885,1063,1476,2273,2586,2585,2757,2801,2256,1494,5.14,0.19,0.56344,464,8.4,45.12,0.001,0.235571,0.001,3.9483,0.01,2.0498
OOT307,303,418,713,589,1288,3037,3657,3822,3942,3781,2483,1396,4.88,0.31,0.56963,314,11.2,23.63,0.001,0.697032,0.001,0.75756,0.01,2.6592
OOT308,2983,2905,2864,2736,3122,3533,3657,3695,3691,8813,2231,1964,5.71,0.225,0.0003,313,19.6,317.1,0.001,0.069611,0.001,0.75756,0.01,2.6315
OOT309,391,529,892,1009,1551,2742,3114,3153,3319,3517,2879,1793,5.02,0.432,0.0003,234,32.4,23,0.001,1.844,0.001,1.5087,0.01,3.1024
OOT310,3996,3839,3694,3499,3868,4044,4077,4149,4055,10815,2328,2188,6.51,0.35,0.56447,213,37.8,25.45,0.001,1.159415,0.001,7.4151,0.01,2.31018
OOT311,256,441,790,858,1443,2813,3292,3453,3510,3696,2640,1667,5.047,0.079,0.0003,131,44,78.96,0.001,2.92735,0.001,23.82783,0.01,2.86695
OOT312,314,621,1063,1530,1835,2189,2360,2458,2539,2594,3028,2284,4.82,0.36,0.5242,307,35,581.3,0.001,5.8086,0.001,4.03176,0.01,1.5789
OOT313,16474,13474,12197,11193,11761,10806,10300,10069,9854,17395,5949,5017,4.81,0.77,0.6543,452,108,500.6,0.001,2.0745,0.001,3.852,0.01,0.831
OOT314,2239,2290,2256,2198,2582,2986,3172,3140,3257,5532,2807,2179,6.56,0.128,0.6496,314,110,45.96,0.001,3.9646,0.001,7.383,0.01,2.4099
OOT315,5455,5278,5054,4843,5336,5483,5566,5448,5530,11175,5017,4540,6.57,0.318,0.464,134,114,15,0.001,4.3795,0.001,4.50042,0.01,0.8864
OOT316,372,357,602,576,1079,2306,2694,2887,2989,2892,2382,1427,5.14,0.422,0.49,341,28.3,41,0.001,1.08796,0.001,4.82463,0.01,1.8005
OOT317,346,372,640,681,1119,2400,2840,2981,3065,2859,2172,1327,4.84,0.22,0.0003,314,47.5,100.1,0.001,2.07911,0.001,5.21625,0.01,0.9972
OOT318,15667,14619,13132,12014,12675,11606,11001,10829,10519,17408,6852,5750,6,0.134,0.0003,343,72.8,622.8,0.001,2.87664,0.001,3.28383,0.01,3.878
OOT320,19378,16840,15124,13743,14485,13199,12452,12387,11809,17407,6619,5430,6.47,6.05,0.0003,413,0,327.5,0.001,1.47981,0.001,0.28569,0.01,1.9944
OOT321,14780,12007,10778,9849,10472,9675,9208,8992,8816,17393,6243,5328,4.58,0.186,0.0003,346,0,310,0.001,0.9681,0.001,0.60669,0.01,2.5761
OOT322,7917,6641,6184,5730,6243,6229,6174,5758,6099,12545,4235,3767,6.43,5.79,0.0003,313,34.4,360,0.001,0.922,0.001,0.00321,0.01,4.2381
OOT323,9860,12354,11338,10598,11137,10495,10176,9983,9875,14254,7809,6557,5.52,0.922,1.2946,560,1.2,500.6,0.001,8.7129,0.001,2.7927,0.01,0.4986
OOT324,246,282,466,358,795,2188,2682,2799,2941,2963,1616,832,7.02,0.26,0.0521,560,0,314.2,0.001,2.9043,0.001,2.7927,0.01,0.4986
OOT325,280,378,629,624,1096,2076,2408,2524,2667,2647,2004,1184,6.78,0.2,0.8939,560,9.1,800.1,0.001,7.9753,0.001,2.889,0.01,1.0526
OOT326,223,311,531,504,927,2047,2345,2442,2547,2421,1942,1201,6.31,0.2,0.3351,187,5.7,790.6,0.001,4.8866,0.001,18.5217,0.01,0.5817
OOT327,137,184,403,352,804,2039,2412,2548,2668,2964,1804,1004,4.68,0.4,0.197,110,5.4,341.7,0.001,2.9043,0.001,18.1686,0.01,1.5235
OOT328,165,206,474,397,930,2262,2661,2844,2982,3099,2042,1096,4.67,0.24,0.1046,58,5.4,488.7,0.001,5.7625,0.001,0.00321,17.8,0.5817
OOT329,359,412,623,716,1087,2089,2518,2687,2808,2889,2520,1649,6.44,0.46,0.0003,46,52.7,41,0.001,1.4752,0.001,0,0.01,2.4653
OOT330,302,388,696,854,1253,2121,2450,2624,2724,2746,2604,1725,4.06,0.14,0.2348,560,15.9,12,0.001,11.525,0.001,0.08346,0.01,3.1301
OOT331,212,232,472,414,916,2256,2719,2926,3041,2665,1982,1141,5.72,0.03,0.2329,130,16.8,12.36,0.001,0.099576,0.001,0.7383,0.01,3.324
OOT332,104,209,490,439,915,2285,2716,2949,2941,2928,1837,1009,5.57,0.43,0.3089,560,16.8,45.63,0.001,0.0099115,0.001,0.11556,0.01,4.3212
OOT333,7880,5625,5339,5181,5674,5627,5595,5298,5619,12978,5114,4426,4.69,0.39,0.2134,119,112.7,500.6,0.001,5.8086,0.001,0.08025,0.01,0.5817
OOT334,110,145,347,230,729,2250,2772,2872,3066,2783,1482,700,5.16,0.66,0.938,560,136.2,78.96,0.001,0.6915,0.001,3.5631,116.6,0.9141
OOT335,421,431,770,993,1378,2249,2550,2719,2737,2908,2542,1734,5.7,0.522,0.056,343,15,104.3,0.001,2.87664,0.001,4.01892,0.01,2.6592
OOT336,421,431,770,993,1378,2249,2550,2719,2737,2908,2542,1734,5.4,0.67,0.4185,234,135.2,14.78,0.001,4.8405,0.001,24.03969,0.01,0.65095
OOT337,1011,318,519,548,925,1953,2323,2436,2588,3250,2015,1212,6.05,0.184,0.0003,313,165.2,45.25,0.001,5.83626,0.001,3.28383,0.01,3.047
OOT338,402,592,837,981,1332,1975,2265,2368,2502,2711,2785,1984,6.65,0.27,0.7522,560,235.7,12.63,0.001,8.1136,0.001,4.56783,0.01,0.20498
OOT339,434,354,548,471,962,2336,2829,2942,3114,3041,2079,1156,5.25,0.2,0.9397,560,135.2,89.63,0.001,2.5816,0.001,5.01723,0.01,1.26312
OOT340,195,497,825,1108,1399,1820,2015,2163,2179,1974,2829,1964,5.84,0.164,1.5796,560,147,12.36,0.001,2.2128,0.001,4.56783,0.01,1.75064
OOT341,5204,3721,3561,3373,3799,4188,4345,4316,4362,11188,3997,3496,5.07,0.24,0.7546,560,17.2,45.69,0.001,3.0426,0.001,4.67376,0.01,2.67305
OOT342,2538,2335,2316,2129,2606,3541,3913,3881,4038,6233,3227,2247,6.18,0.25,0.897,560,26,78.96,6.6,4.4256,0.001,5.12316,17.8,3.11625
OOT343,7132,6266,5950,5727,6266,6135,6075,6034,5980,15396,5449,5091,4.55,0.04,0.9649,560,35,45.63,0.001,3.7341,0.001,3.96756,0.01,0.03047
OOT344,2233,2033,2122,2230,2590,2943,3067,3033,3153,5186,2995,2250,6.19,0.205,0.1332,313,42,12,0.001,3.528494,0.001,8.22723,0.01,3.4071
OOT345,3727,2605,2590,2650,2969,3121,3215,3167,3280,7149,3290,2439,5.9,0.07,0.9453,313,35,0.36,0.001,1.1986,0.001,28.77123,0.01,1.4681
OOT346,3087,2878,2848,2713,3073,3604,3742,3607,3827,6293,2739,2310,4.2,0.246,0.0003,134,25,0,0.001,2.47096,0.001,25.12146,0.01,0.8864
OOT347,5229,5714,5423,5190,5763,5690,5719,5458,5692,14304,4156,3559,4.45,0.169,0.0003,343,89,23.4,0.001,1.99152,0.001,3.96756,0.01,1.12185
OOT348,7997,8444,8265,8291,8814,8346,8208,8034,8274,13822,6964,5771,6.4,0.12,0.0002,341,79,12.7,0.001,0.7376,0.001,4.88883,0.01,2.0498
OOT349,799,745,841,651,1143,2348,2723,2761,2984,2695,1882,1026,5.55,0.21,0.0003,343,27,13.7,0.001,4.8405,0.001,4.67376,0.01,1.00274
OOT350,3213,4721,4550,4467,4799,4655,4611,4529,4653,5933,4246,3528,6.32,0.23,0.0003,313,56,18.4,0.001,14.9825,0.001,7.58523,0.01,1.9944
OOT351,13024,12673,11956,11368,12262,11511,11119,10934,10689,15785,5948,4702,6.65,0.14,0.0003,464,11,12.4,0.001,0.0991611,0.001,0.75756,0.01,0.01662
OOT352,954,1912,1890,1777,2115,2598,2754,2789,2857,3064,2361,1729,6.58,0.09,0.5598,344,132,78.96,0.001,0.237415,0.001,8.14056,0.01,1.1357
OOT353,815,866,982,1037,1395,2119,2404,2433,2639,2523,2750,1816,6.54,0.15,0.9571,343,569,17.3,0.001,4.3795,0.001,3.96756,0.01,1.44871
OOT354,815,866,982,1037,1395,2119,2404,2433,2639,2523,2750,1816,5.53,0.2,2.213,134,258,23.65,0.001,2.8582,0.001,4.56783,0.01,2.2991
OOT355,12614,13029,12368,11901,12536,11691,11222,11312,11022,14981,6286,5041,4.51,0.54,0.0003,134,123,158.2,0.001,2.0745,0.001,25.34616,87.4,2.1052
OOT356,9789,6932,6721,6545,7103,6858,6749,6253,6737,15227,4527,3809,4.85,0.36,0.0003,143,654,25.38,0.001,1.6135,0.001,25.21776,0.01,1.66477
OOT357,382,425,732,489,1254,3212,3829,3951,4115,3772,2426,1273,4.06,0.2,1.16,464,789,365.2,0.001,1.77485,0.001,4.56783,0.01,2.3822
OOT358,324,419,712,566,1244,2899,3488,3554,3738,3594,2380,1338,4.3,0.09,0.6956,434,159,25.89,0.001,2.59082,0.001,3.93225,0.01,0.6371
OOT359,648,922,1308,1684,2055,2568,2819,2817,2894,3136,3366,2608,4.81,0.32,0.5814,134,25,23.69,0.001,2.5816,0.001,8.45835,0.01,2.2991
OOT360,8327,7759,7467,7226,7704,7433,7330,7316,7318,13854,6683,5903,5.8,0.234,0.8879,343,74,100.1,0.001,6.915,0.001,4.03176,0.01,2.6038
OOT361,4326,1557,1687,1640,2108,2937,3260,3375,3502,8344,3233,2163,6.89,0.17,0.2798,34,78,15.89,0.001,1.4291,0.001,15.16083,11.9,0.4709
OOT362,571,663,1049,1168,1788,3186,3612,3647,3739,3406,3133,2060,6.81,0.11,0.5611,275,96,25.89,0.001,4.1029,0.001,3.86163,18.5,0.7202
OOT363,401,488,722,570,1195,2722,3231,3324,3529,3543,2352,1324,6.41,0.15,0.0209,304,12,96.32,0.001,3.7802,0.001,4.50042,7.3,1.6897
OOT364,655,791,1093,1235,1690,2549,2888,2931,3066,3079,2957,1985,6.11,0.13,0.5324,234,36,14.78,0.001,4.2873,0.001,4.56783,7.3,3.1301
OOT365,324,419,712,566,1244,2899,3488,3554,3738,3594,2380,1338,5.8,0.26,0.6231,343,98,85.23,0.001,7.0533,0.001,3.86163,7.3,0.9972
OOT366,467,526,771,798,1242,2428,2832,2937,3060,3192,2374,1507,5.7,0.27,0.8964,341,45,96.32,0.001,2.2589,0.001,4.60956,7.3,3.42372
OOT367,522,701,1046,1390,1733,2239,2496,2492,2588,2816,2938,2147,6.33,0.003,0.8964,464,78,85,0.001,2.8582,0.001,23.82783,7.3,4.155
OOT368,1601,1220,1411,1465,1871,2565,2829,2865,2950,3977,2635,1864,6.05,0.125,0.056,164,96,89.36,0.001,0.69611,0.001,3.9483,8.5,3.1301
OOT369,537,721,888,867,1302,2223,2566,2713,2837,3474,2585,1741,5.57,0.15,0.0994,341,25,12.45,0.001,1.83478,0.001,4.67376,18.5,3.4902
OOT370,655,791,1093,1235,1690,2549,2888,2931,3066,3079,2957,1985,4.86,0.07,0.2973,343,310,108.6,0.001,2.766,0.001,28.77123,0.01,1.2465
OOT371,1980,1109,1275,1228,1619,2607,2879,2845,3010,4853,2233,1668,6.35,0.183,0.2868,463,125,36.32,0.001,22.0358,0.001,3.96756,0.01,4.3212
OOT372,964,528,717,715,1111,2049,2333,2248,2547,3176,2044,1419,6.28,0.074,0.3438,464,125,15.24,0.001,28.9969,0.001,14.51883,0.01,3.9611
OOT373,1309,978,1361,1359,2040,3860,4333,4199,4562,4185,3260,2061,7.66,0.16,0.1183,434,369,78.96,0.001,2.40181,0.001,3.96756,0.01,0.6925
OOT374,958,1724,2099,2074,2737,4187,4522,4417,4653,3853,3464,2744,6.27,0.124,0.0003,316,159,12.25,0.001,3.5036,0.001,4.02534,0.01,0.0831
OOT375,4406,5492,5328,5166,5654,5864,5843,5679,5898,8078,4906,4377,7.28,0.149,0.1278,143,258,12.14,0.001,0.115711,0.001,4.38165,0.01,1.2465
OOT376,964,528,717,715,1111,2049,2333,2248,2547,3176,2044,1419,6.37,0.061,0.0003,343,159,100.1,0.001,1.03725,0.001,6.30123,0.01,0.51522
OOT377,10375,10447,10105,9775,10225,10085,9963,9465,9908,11588,6064,4453,4.24,0.137,0.001,34,987,36.32,0.001,4.30113,0.001,4.57746,0.01,2.0221
OOT378,1594,1529,1688,1514,2083,3329,3633,3567,3761,5968,2304,1619,5.72,0.065,0.0432,636,753,12.25,0.001,3.785732,0.001,3.96756,0.01,3.7672
OOT379,8105,8409,8058,7754,8219,8162,8094,7666,8039,11243,5134,3984,5.88,0.091,0.0003,343,369,36.32,0.001,2.41564,0.001,0.20223,0.01,4.2381
OOT380,5385,4268,4185,4040,4417,4741,4820,4540,4867,8363,3477,2887,6.87,0.77,0.0995,431,25,78.96,0.001,2.88125,0.001,0.28569,0.01,4.155
OOT381,5385,4268,4185,4040,4417,4741,4820,4540,4867,8363,3477,2887,5.08,0.111,0.0003,344,45,45.96,0.001,0.5532,0.001,0.17976,0.01,0.00277
OOT382,6633,7077,6786,6489,6906,7051,7050,6739,7015,9960,4873,4014,6.7,0.112,0.0477,344,56,12.36,0.001,0.8759,0.001,0.04815,0.01,3.324
OOT383,3087,2878,2848,2713,3073,3604,3742,3607,3827,6293,2739,2310,6.22,0.095,0.2478,345,3,654.3,0.001,3.00572,0.001,0.08346,0.01,0.09972
OOT384,5229,5714,5423,5190,5763,5690,5719,5458,5692,14304,4156,3559,4.45,0.169,0.056,311,21,243.2,0.001,2.64614,0.001,4.53252,0.01,0.03878
OOT385,5587,5613,5333,5072,5559,5597,5665,5457,5658,12699,4371,3964,7.73,0.412,0.5627,343,15,121.3,0.001,3.83552,0.001,8.14056,0.01,0.09972
OOT386,5703,5198,4951,4710,5200,5305,5396,5175,5414,13367,4136,3786,7.62,0.411,0.1367,343,98,26.3,0.001,0.025816,0.001,4.56783,0.01,3.97772
OOT387,5234,5641,5340,5076,5582,5632,5749,5591,5773,11682,4471,4019,6.86,0.338,0.233,434,78,124.2,0.001,1.49825,0.001,4.93056,0.01,2.8531
OOT388,5718,5449,5159,4907,5402,5416,5496,5290,5505,14937,4199,4021,6.88,0.467,0.2295,343,74,25.3,0.001,0.62235,0.001,3.96756,0.01,3.1855
OOT389,5415,5249,5002,4750,5215,5300,5388,5170,5382,12242,4076,3651,7.82,0.411,0.052,134,150,26.3,0.001,2.88125,0.001,4.56783,0.01,0.3601
OOT390,5259,4969,4746,4515,4987,5119,5205,5002,5201,12434,4026,3726,5.83,0.352,0.1572,343,5,32.1,0.001,0.70994,0.001,25.34616,0.01,3.324
OOT391,5634,5296,5033,4811,5291,5251,5280,5052,5273,13422,4217,3995,6.65,0.225,0.3732,165,25,65.4,0.001,0.78831,0.001,8.22723,0.01,4.0442
OOT392,5233,5307,5009,4698,5250,5298,5298,5243,5289,15114,3949,3535,7.6,0.218,0.056,343,15,23.65,0.001,0.840864,0.001,4.05423,0.01,3.1024
OOT393,5688,5411,5148,4905,5345,5375,5456,5225,5423,12594,4124,3665,5.1,0.308,0.172,464,78,12.65,0.001,2.60004,0.001,3.95793,0.01,3.878
OOT394,8549,8274,7886,7596,8117,7681,7564,7213,7421,13188,5561,4442,6.18,0.191,0.1764,311,89,12.45,0.001,4.3795,0.001,8.13093,0.01,0.00277
OOT395,5303,4969,4715,4474,5003,5103,5131,5005,5122,14821,4021,3820,4.59,0.18,0.0003,135,96,63.25,0.001,3.98765,0.001,4.56783,0.01,0.9972
OOT396,4665,4499,4306,4088,4615,4803,4882,4735,4905,13502,3782,3438,5.26,0.001,0.001,313,93,78.96,0.001,0.47022,0.001,14.6376,0.01,3.4625
OOT397,5397,5421,5112,4853,5394,5348,5358,5202,5333,15310,3874,3471,6.62,0.384,0.7691,212,85,45.36,0.001,0.6915,0.001,0.08346,0.01,3.9611
OOT398,4480,3548,3431,3269,3749,4070,4217,4055,4260,13709,3085,2796,7.39,0.33,0.7691,434,78,12.69,0.001,9.97143,0.001,0.11556,0.01,1.5512
OOT399,5397,5421,5112,4853,5394,5348,5358,5202,5333,15310,3874,3471,6.21,0.352,0.0894,316,32,12.63,0.001,0.94505,0.001,0.08025,0.01,0.8864
OOT400,4805,4566,4394,4194,4663,4854,4975,4781,4996,12857,3909,3719,7.18,0.231,0.1388,134,15,78.96,0.001,1.7518,0.001,0.04494,0.01,1.2465
OOT401,5085,4996,4749,4506,4968,5096,5173,4974,5173,12013,3920,3550,6.03,0.26,0.0003,341,335,12.39,0.001,2.5816,0.001,3.9483,0.01,0
OOT402,4774,4671,4392,4125,4612,4638,4669,4604,4670,14553,3304,2870,5.65,0.473,0.0003,647,47,15.23,0.001,3.4114,0.001,8.2497,0.01,3.878
OOT403,5397,5016,4763,4522,5062,5137,5181,5005,5168,15614,3827,3591,7.64,0.162,0.0003,313,75,78.96,0.001,0.8759,0.001,8.14056,0.01,0.7479
OOT404,5060,4783,4529,4279,4791,4820,4858,4728,4863,15272,3434,2992,7.65,1.08,0.0975,134,97,45.69,0.001,0.79753,0.001,0,0.01,1.4404
OOT406,4573,4089,3908,3733,4218,4366,4458,4301,4473,13974,3294,3003,6.65,0.444,0.4535,134,62.5,78.96,0.001,1.6135,0.001,0.00321,0.01,4.0442
OOT407,6261,6146,5776,5486,6044,5930,5936,5813,5893,15520,4360,3834,7.17,0.242,0.0003,5,152.3,25.98,0.001,1.1064,0.001,0.00321,0.01,4.2381
OOT408,5263,4827,4764,4697,5297,5346,5368,5016,5363,11344,4830,4351,6.11,0.583,0.7684,313,142,15.24,0.001,2.8121,0.001,3.9483,0.01,0.9695
OOT409,5233,5307,5009,4698,5250,5298,5298,5243,5289,15114,3949,3535,6.15,0.095,0.0003,344,151,125.3,0.001,3.16707,0.001,5.0076,0.01,3.0747
OOT411,6152,5628,5340,5109,5655,5643,5688,5479,5682,15674,4320,3977,6.31,0.079,0.7248,343,159,246.3,0.001,2.51706,0.001,4.6866,0.01,3.2409
OOT412,6120,5637,5362,5124,5691,5678,5692,5460,5650,15599,4338,3990,5.14,0.072,0.0029,343,741,248.96,0.001,4.05219,0.001,5.74269,0.01,4.0442
OOT413,5908,5397,5092,4836,5363,5285,5290,5103,5260,15615,3693,3259,5.65,0.213,0.0003,334,154,325.6,0.001,3.52665,0.001,4.57746,0.01,1.4404
OOT414,6838,7544,7271,7098,7642,7395,7341,7015,7254,11004,6112,5195,5.64,0.035,0.0261,342,258,12.56,0.001,1.95003,0.001,4.67376,0.01,3.9057
OOT415,7857,7973,7666,7469,8215,7847,7629,7153,7504,14841,5603,4587,5.28,0.098,0.099,343,1425,74.2,0.001,0.87129,0.001,3.96756,0.01,2.0775
OOT416,6838,7544,7271,7098,7642,7395,7341,7015,7254,11004,6112,5195,5.09,0.098,3.2,343,428,32.5,0.001,1.74258,0.001,25.34616,0.01,0.5817
OOT417,500,594,945,993,1612,3112,3629,3610,3799,3544,3037,1924,5.98,0.22,0.0003,234,137,26.3,0.001,29.3657,0.001,3.96756,0.01,3.9611
OOT418,7779,5811,5620,5419,5907,6059,6205,6085,6260,11712,5021,4260,5.22,0.1,2.311,134,147,25.8,0.001,1.63194,0.001,3.32556,0.01,0.9972
OOT419,3959,2375,2386,2272,2709,3339,3608,3544,3712,7518,2875,2232,7.78,0.15,3.22,343,33.6,25.9,0.001,1.47981,0.001,5.12316,0.01,1.19664
OOT420,7779,5811,5620,5419,5907,6059,6205,6085,6260,11712,5021,4260,7.02,0.17,1.344,123,26.4,45.63,0.001,4.05219,0.001,3.97719,0.01,3.1855
